session_id,start_time,end_time,duration,keypresses
67,2020-08-11 13:37:11.486,2020-08-11 13:37:50.052,0 days 00:00:38.566000,113
68,2020-08-11 14:26:38.998,2020-08-11 14:26:42.065,0 days 00:00:03.067000,13
69,2020-08-11 14:29:16.404,2020-08-11 14:30:49.207,0 days 00:01:32.803000,272
70,2020-08-11 14:34:03.671,2020-08-11 14:34:21.688,0 days 00:00:18.017000,17
71,2020-08-11 14:37:36.180,2020-08-11 14:37:48.474,0 days 00:00:12.294000,16
72,2020-08-11 14:39:18.337,2020-08-11 14:39:26.942,0 days 00:00:08.605000,23
73,2020-08-11 14:42:22.692,2020-08-11 14:43:18.323,0 days 00:00:55.631000,198
74,2020-08-11 15:17:41.001,2020-08-11 15:19:25.379,0 days 00:01:44.378000,228
75,2020-08-11 15:20:28.578,2020-08-11 15:22:39.439,0 days 00:02:10.861000,356
76,2020-08-11 15:49:35.466,2020-08-11 15:53:23.385,0 days 00:03:47.919000,410
77,2020-08-11 15:54:36.070,2020-08-11 15:55:31.499,0 days 00:00:55.429000,121
78,2020-08-11 15:58:07.119,2020-08-11 16:03:53.417,0 days 00:05:46.298000,495
79,2020-08-11 16:05:44.463,2020-08-11 16:06:14.982,0 days 00:00:30.519000,75
80,2020-08-11 17:37:44.309,2020-08-11 17:37:45.048,0 days 00:00:00.739000,6
81,2020-08-11 19:01:06.126,2020-08-11 19:01:18.918,0 days 00:00:12.792000,12
82,2020-08-11 19:51:43.924,2020-08-11 19:51:57.093,0 days 00:00:13.169000,32
83,2020-08-11 21:49:17.303,2020-08-11 21:57:38.279,0 days 00:08:20.976000,779
84,2020-08-11 21:59:29.417,2020-08-11 22:05:11.900,0 days 00:05:42.483000,501
85,2020-08-11 22:06:24.968,2020-08-11 22:06:27.887,0 days 00:00:02.919000,10
86,2020-08-11 22:07:46.209,2020-08-11 22:08:15.047,0 days 00:00:28.838000,35
87,2020-08-11 22:20:20.447,2020-08-11 22:20:34.851,0 days 00:00:14.404000,50
88,2020-08-11 22:26:09.739,2020-08-11 22:27:07.571,0 days 00:00:57.832000,31
89,2020-08-11 22:50:42.487,2020-08-11 22:50:48.888,0 days 00:00:06.401000,13
90,2020-08-12 06:35:59.032,2020-08-12 06:37:05.208,0 days 00:01:06.176000,192
91,2020-08-12 06:41:27.725,2020-08-12 06:41:50.087,0 days 00:00:22.362000,9
92,2020-08-12 06:57:09.537,2020-08-12 06:57:18.574,0 days 00:00:09.037000,10
93,2020-08-12 07:00:13.755,2020-08-12 07:00:17.796,0 days 00:00:04.041000,19
