session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
37,2020-08-10T13:02:35.546000000,2020-08-10T13:02:44.466000000,2020-08-10T13:02:35.546000000,2020-08-10T13:02:44.466000000,8920000000 nanoseconds,26
38,2020-08-10T13:14:57.924000000,2020-08-10T13:15:00.311000000,2020-08-10T13:14:57.924000000,2020-08-10T13:15:00.311000000,2387000000 nanoseconds,7
39,2020-08-10T13:56:23.596000000,2020-08-10T13:56:28.579000000,2020-08-10T13:56:23.596000000,2020-08-10T13:56:28.579000000,4983000000 nanoseconds,17
40,2020-08-10T15:48:16.581000000,2020-08-10T15:57:36.764000000,2020-08-10T15:48:16.581000000,2020-08-10T15:57:36.764000000,560183000000 nanoseconds,562
41,2020-08-10T15:48:17.950000000,2020-08-10T15:49:10.030000000,2020-08-10T15:48:17.950000000,2020-08-10T15:49:10.030000000,52080000000 nanoseconds,46
42,2020-08-10T15:49:10.228000000,2020-08-10T15:57:39.710000000,2020-08-10T15:49:10.228000000,2020-08-10T15:57:39.710000000,509482000000 nanoseconds,506
43,2020-08-10T16:07:54.867000000,2020-08-10T16:07:58.057000000,2020-08-10T16:07:54.867000000,2020-08-10T16:07:58.057000000,3190000000 nanoseconds,11
44,2020-08-10T17:05:39.919000000,2020-08-10T17:06:07.861000000,2020-08-10T17:05:39.919000000,2020-08-10T17:06:07.861000000,27942000000 nanoseconds,88
45,2020-08-10T17:51:44.358000000,2020-08-10T17:52:38.986000000,2020-08-10T17:51:44.358000000,2020-08-10T17:52:38.986000000,54628000000 nanoseconds,111
46,2020-08-10T18:06:37.091000000,2020-08-10T18:07:45.608000000,2020-08-10T18:06:37.091000000,2020-08-10T18:07:45.608000000,68517000000 nanoseconds,106
47,2020-08-10T18:57:54.175000000,2020-08-10T18:57:59.960000000,2020-08-10T18:57:54.175000000,2020-08-10T18:57:59.960000000,5785000000 nanoseconds,22
48,2020-08-10T19:08:50.844000000,2020-08-10T19:10:29.407000000,2020-08-10T19:08:50.844000000,2020-08-10T19:10:29.407000000,98563000000 nanoseconds,88
49,2020-08-10T19:12:18.021000000,2020-08-10T19:18:38.181000000,2020-08-10T19:12:18.021000000,2020-08-10T19:18:38.181000000,380160000000 nanoseconds,566
50,2020-08-10T21:08:58.285000000,2020-08-10T21:09:00.033000000,2020-08-10T21:08:58.285000000,2020-08-10T21:09:00.033000000,1748000000 nanoseconds,7
51,2020-08-10T21:10:30.029000000,2020-08-10T21:15:23.484000000,2020-08-10T21:10:30.029000000,2020-08-10T21:15:23.484000000,293455000000 nanoseconds,650
52,2020-08-10T21:39:10.385000000,2020-08-10T21:39:34.267000000,2020-08-10T21:39:10.385000000,2020-08-10T21:39:34.267000000,23882000000 nanoseconds,52
53,2020-08-10T21:43:37.509000000,2020-08-10T21:44:50.936000000,2020-08-10T21:43:37.509000000,2020-08-10T21:44:50.936000000,73427000000 nanoseconds,36
54,2020-08-11T07:52:11.639000000,2020-08-11T07:53:09.783000000,2020-08-11T07:52:11.639000000,2020-08-11T07:53:09.783000000,58144000000 nanoseconds,149
55,2020-08-11T09:05:50.372000000,2020-08-11T09:05:54.520000000,2020-08-11T09:05:50.372000000,2020-08-11T09:05:54.520000000,4148000000 nanoseconds,19
